order_id,customer_id,order_value,cancellation_reason,cancelled,device_type,shipping_method,customer_tenure_days,order_date,product_type
1170,C1982,487.04,Out of Stock,0,Mobile,Standard,1459,2024-05-03,Toys
1171,C1355,465.53,Payment Issue,0,Mobile,Standard,693,2024-07-31,Home
1172,C1664,451.43,Changed Mind,1,Mobile,Standard,962,2024-06-30,Clothing
1173,C1530,303.22,Changed Mind,0,Desktop,Standard,1444,2024-03-11,Electronics
1174,C2039,630.66,Changed Mind,0,Desktop,Standard,1131,2024-02-13,Toys
1175,C1497,209.71,Out of Stock,1,Mobile,Standard,523,2024-12-05,Home
1176,C2238,751.73,Other,1,Mobile,Standard,1466,2024-07-13,Toys
1177,C1409,716.25,Changed Mind,0,Mobile,Standard,1529,2024-02-26,Electronics
1178,C1401,276.61,Other,0,Desktop,Standard,403,2024-10-18,Home
1179,C1307,586.28,Product Quality,1,Mobile,Standard,342,2024-02-26,Beauty
1180,C2681,462.85,Out of Stock,0,Tablet,Standard,1621,2024-06-19,Electronics
1181,C2676,276.74,Shipping Delay,0,Mobile,Express,799,2024-10-26,Beauty
1182,C0973,790.93,Payment Issue,0,Mobile,Standard,1350,2024-11-13,Beauty
1183,C1769,29.94,Customer Service,0,Desktop,Express,213,2024-03-23,Home
1184,C1283,209.59,Out of Stock,1,Mobile,Standard,1023,2024-11-12,Toys
1185,C0710,420.86,Other,0,Mobile,Express,1579,2024-04-03,Toys
1186,C1480,422.34,Shipping Delay,1,Mobile,Standard,321,2024-09-23,Clothing
1187,C1435,475.26,Customer Service,0,Mobile,Standard,1101,2024-11-28,Electronics
1188,C0649,603.82,Product Quality,0,Desktop,Standard,1078,2024-06-09,Electronics
1189,C0318,502.55,Changed Mind,0,Desktop,Standard,783,2024-04-11,Home
1190,C1258,484.22,Changed Mind,0,Mobile,Standard,855,2024-04-21,Home
1191,C0684,52.28,Changed Mind,1,Mobile,Standard,1094,2024-03-06,Clothing
1192,C0664,307.46,Out of Stock,0,Mobile,Standard,1091,2024-04-19,Clothing
1193,C1999,193.32,Payment Issue,0,Desktop,Standard,179,2024-04-29,Beauty
1194,C1632,219.64,Other,0,Mobile,Express,379,2024-10-05,Clothing
1195,C1496,447.93,Out of Stock,1,Mobile,Express,932,2024-08-29,Toys
1196,C1137,167.61,Other,1,Mobile,Standard,1709,2024-05-27,Beauty
1197,C1854,242.22,Customer Service,0,Mobile,Standard,1704,2024-08-29,Clothing
1198,C1521,,Out of Stock,0,Desktop,Standard,449,2024-08-09,Toys
1199,C2490,759.32,Other,0,Desktop,Express,1284,2024-09-27,Toys
1200,C0564,756.29,Out of Stock,0,Mobile,Express,1470,2024-10-12,Beauty
1201,C1292,491.85,Other,0,Desktop,Express,1660,2024-01-04,Beauty
1202,C1637,740.37,Changed Mind,0,Mobile,Standard,130,2024-11-15,Toys
1203,C3000,630.79,Changed Mind,0,Mobile,Express,1257,2024-11-16,Home
1204,C0699,476.06,Changed Mind,0,Mobile,Express,903,2024-01-08,Beauty
1205,C2161,15.08,Out of Stock,0,Mobile,Standard,1177,2024-02-21,Electronics
1206,C0002,620.29,Out of Stock,0,Desktop,Standard,329,2024-05-21,Home
1207,C0642,,Out of Stock,0,Tablet,Standard,636,2024-11-09,Electronics
1208,C2268,496.05,Changed Mind,0,Mobile,Standard,1635,2024-09-23,Clothing
1209,C1590,610.74,Other,0,Mobile,Express,52,2024-11-10,Beauty
1210,C0855,,Out of Stock,0,Mobile,Standard,467,2024-10-06,Beauty
1211,C1760,566.23,Changed Mind,0,Desktop,Standard,639,2024-03-28,Toys
1212,C2433,748.79,Shipping Delay,1,Desktop,Standard,412,2024-06-08,Beauty
1213,C1662,306.89,Product Quality,0,Mobile,Express,1037,2024-10-28,Electronics
1214,C1154,569.42,Other,1,Desktop,Standard,495,2024-01-28,Home
1215,C1077,385.79,Out of Stock,0,Desktop,Express,1540,2024-01-16,Clothing
1216,C1708,542.78,Payment Issue,0,Mobile,Standard,1785,2024-10-24,Home
1217,C2778,612.69,Changed Mind,0,Mobile,Standard,367,2024-12-24,Electronics
1218,C1696,45.91,Out of Stock,0,Desktop,Standard,538,2024-09-28,Clothing
1219,C1734,520.81,Other,0,Mobile,Standard,636,2024-04-09,Toys
1220,C1440,189.13,Changed Mind,0,Mobile,Standard,1475,2024-07-22,Beauty
1221,C2295,539.33,Other,0,Mobile,Standard,1564,2024-07-08,Beauty
1222,C0836,379.98,Out of Stock,1,Mobile,Standard,514,2024-02-03,Toys
1223,C0203,621.11,Other,0,Desktop,Express,480,2024-10-20,Electronics
1224,C0123,107.49,Payment Issue,0,Mobile,Standard,413,2024-10-04,Toys
1225,C0401,504.79,Other,0,Mobile,Express,227,2024-12-01,Electronics
1226,C0767,229.99,Other,0,Mobile,Standard,136,2024-12-09,Clothing
1227,C0294,683.86,Other,0,Desktop,Standard,1792,2024-09-15,Home
1228,C2328,743.42,Payment Issue,0,Mobile,Standard,1263,2024-09-13,Home
1229,C2932,797.15,Payment Issue,0,Mobile,Express,790,2024-02-22,Toys
1230,C0198,638.85,Shipping Delay,0,Mobile,Standard,834,2024-07-10,Beauty
1231,C1931,605.45,Payment Issue,0,Desktop,Standard,1695,2024-06-20,Toys
1232,C2800,180.25,Payment Issue,0,Desktop,Express,471,2024-02-16,Beauty
1233,C2192,275.45,Payment Issue,1,Desktop,Standard,517,2024-07-09,Toys
1234,C0609,377.89,Out of Stock,1,Mobile,Standard,1484,2024-02-10,Toys
1235,C1148,620.97,Out of Stock,1,Desktop,Standard,304,2024-07-12,Home
1236,C0187,732.82,Payment Issue,0,Mobile,Standard,654,2024-03-06,Beauty
1237,C2512,159.42,Payment Issue,0,Desktop,Standard,180,2024-02-12,Home
1238,C1795,738.67,Out of Stock,0,Mobile,Standard,29,2024-07-08,Beauty
1239,C0660,559.54,Out of Stock,0,Desktop,Standard,971,2024-03-29,Clothing
1240,C2812,492.51,Payment Issue,0,Mobile,Standard,764,2024-06-24,Clothing
1241,C1956,167.87,Changed Mind,1,Desktop,Standard,39,2024-01-26,Clothing
1242,C2451,53.86,Other,0,Desktop,Standard,186,2024-04-08,Electronics
1243,C1370,459.09,Other,0,Mobile,Standard,318,2024-03-01,Home
1244,C1987,524.7,Other,0,Tablet,Express,1250,2024-09-06,Home
1245,C1535,176.52,Other,0,Mobile,Standard,731,2024-11-13,Clothing
1246,C0147,,Changed Mind,0,Tablet,Standard,891,2024-08-12,Toys
1247,C2912,686.63,Shipping Delay,0,Desktop,Standard,323,2024-03-22,Home
1248,C1735,669.7,Changed Mind,0,Tablet,Standard,942,2024-06-30,Beauty
1249,C1844,742.61,Shipping Delay,0,Mobile,Standard,1066,2024-07-06,Home
1250,C0489,299.05,Changed Mind,0,Mobile,Standard,655,2024-02-13,Home
1251,C2977,261.26,Shipping Delay,0,Desktop,Standard,1301,2024-11-07,Beauty
1252,C1960,602.05,Out of Stock,1,Tablet,Standard,1342,2024-09-15,Clothing
1253,C1664,350.58,Payment Issue,0,Mobile,Standard,173,2024-04-07,Clothing
1254,C2599,79.16,Product Quality,0,Mobile,Standard,1782,2024-12-18,Beauty
1255,C2386,233.41,Payment Issue,1,Mobile,Standard,684,2024-03-31,Home
1256,C2920,340.68,Changed Mind,0,Desktop,Express,1064,2024-11-10,Home
1257,C0641,241.09,Payment Issue,0,Desktop,Standard,408,2024-11-24,Clothing
1258,C1803,272.44,Changed Mind,0,Mobile,Express,1585,2024-05-20,Electronics
1259,C2521,,Payment Issue,0,Mobile,Standard,1346,2024-11-04,Clothing
1260,C1970,42.78,Other,0,Mobile,Standard,179,2024-09-08,Beauty
1261,C2199,513.3,Changed Mind,0,Mobile,Standard,853,2024-07-26,Electronics
1262,C1439,481.86,Out of Stock,0,Desktop,Standard,1182,2024-06-27,Electronics
1263,C1635,526.17,Changed Mind,0,Mobile,Express,36,2024-10-24,Beauty
1264,C0263,161.92,Shipping Delay,1,Desktop,Standard,405,2024-07-05,Toys
1265,C1788,243.57,Product Quality,0,Desktop,Standard,538,2024-11-20,Clothing
1266,C2192,499.5,Shipping Delay,0,Mobile,Standard,375,2024-04-19,Home
1267,C2394,483.71,Product Quality,0,Mobile,Standard,255,2024-08-06,Clothing
1268,C0624,410.0,Other,0,Desktop,Express,277,2024-12-13,Beauty
1269,C1017,286.83,Other,1,Mobile,Standard,248,2024-01-03,Home
1270,C0881,731.22,Shipping Delay,1,Desktop,Standard,692,2024-02-10,Toys
1271,C2050,278.42,Payment Issue,0,Mobile,Standard,1040,2024-05-04,Beauty
1272,C2945,369.94,Shipping Delay,1,Desktop,Standard,1391,2024-09-13,Clothing
1273,C1328,545.71,Out of Stock,0,Mobile,Standard,124,2024-07-11,Electronics
1274,C2302,438.99,Product Quality,1,Mobile,Express,1335,2024-04-24,Beauty
1275,C0453,284.04,Customer Service,0,Mobile,Standard,211,2024-03-10,Beauty
1276,C1184,354.16,Product Quality,0,Tablet,Express,471,2024-11-01,Clothing
1277,C2057,637.64,Customer Service,0,Tablet,Express,748,2024-12-01,Toys
1278,C1683,229.72,Payment Issue,0,Mobile,Standard,1438,2024-04-06,Clothing
1279,C2864,122.38,Payment Issue,0,Mobile,Standard,499,2024-08-03,Clothing
1280,C2256,257.4,Changed Mind,1,Mobile,Standard,810,2024-11-10,Toys
1281,C1155,681.13,Other,1,Mobile,Standard,1735,2024-08-11,Toys
1282,C0404,80.3,Customer Service,0,Desktop,Standard,888,2024-11-25,Beauty
1283,C2200,793.44,Shipping Delay,0,Mobile,Standard,1204,2024-11-14,Electronics
1284,C2102,437.39,Product Quality,1,Desktop,Standard,1412,2024-10-07,Clothing
1285,C1697,,Product Quality,0,Desktop,Standard,1665,2024-11-28,Electronics
1286,C0628,751.81,Other,0,Mobile,Standard,1656,2024-05-08,Toys
1287,C0587,367.72,Customer Service,0,Desktop,Standard,1210,2024-04-08,Toys
1288,C1649,166.81,Shipping Delay,0,Mobile,Standard,1762,2024-09-26,Clothing
1289,C1444,140.26,Shipping Delay,0,Mobile,Standard,1697,2024-09-03,Beauty
1290,C1446,199.59,Payment Issue,0,Desktop,Standard,1647,2024-07-04,Clothing
1291,C0104,571.0,Shipping Delay,0,Mobile,Express,1491,2024-08-31,Beauty
1292,C0254,225.63,Changed Mind,0,Mobile,Standard,1480,2024-02-07,Home
1293,C2558,279.73,Payment Issue,1,Tablet,Express,1157,2024-09-13,Beauty
1294,C1497,364.54,Customer Service,0,Desktop,Standard,1721,2024-12-05,Clothing
1295,C0099,731.45,Out of Stock,0,Mobile,Standard,174,2024-09-04,Clothing
1296,C2201,159.62,Other,0,Desktop,Standard,1284,2024-05-12,Beauty
1297,C1885,13.97,Changed Mind,0,Mobile,Standard,316,2024-02-13,Electronics
1298,C2962,57.48,Out of Stock,0,Tablet,Standard,1000,2024-07-11,Beauty
1299,C1920,724.77,Changed Mind,0,Mobile,Standard,823,2024-02-26,Home
1300,C0878,521.54,Payment Issue,0,Desktop,Express,869,2024-09-04,Home
1301,C0338,225.7,Changed Mind,0,Desktop,Express,930,2024-04-13,Electronics
1302,C2870,149.98,Changed Mind,0,Mobile,Standard,886,2024-02-14,Home
1303,C0957,242.47,Payment Issue,0,Desktop,Standard,268,2024-02-29,Clothing
1304,C1705,100.69,Changed Mind,0,Tablet,Standard,1817,2024-03-06,Electronics
1305,C0161,753.81,Payment Issue,0,Desktop,Standard,469,2024-08-10,Electronics
1306,C1604,629.52,Product Quality,1,Mobile,Express,223,2024-02-16,Electronics
1307,C2849,375.29,Payment Issue,0,Mobile,Standard,1275,2024-08-25,Beauty
1308,C0398,693.32,Shipping Delay,0,Tablet,Express,1087,2024-01-26,Beauty
1309,C1301,207.07,Product Quality,0,Mobile,Standard,974,2024-11-02,Electronics
1310,C0816,576.53,Out of Stock,1,Desktop,Standard,906,2024-04-03,Home
1311,C1528,686.34,Other,0,Mobile,Express,829,2024-04-19,Clothing
1312,C1920,291.85,Product Quality,0,Mobile,Express,1487,2024-09-17,Clothing
1313,C1416,608.4,Product Quality,0,Mobile,Standard,1147,2024-09-10,Beauty
1314,C1159,243.11,Payment Issue,0,Tablet,Standard,1605,2024-10-21,Toys
1315,C1219,246.1,Product Quality,0,Desktop,Standard,237,2024-11-19,Electronics
1316,C0401,94.58,Customer Service,0,Mobile,Standard,74,2024-02-09,Toys
1317,C0640,357.65,Changed Mind,0,Desktop,Standard,1465,2024-10-18,Clothing
1318,C2736,586.47,Payment Issue,1,Mobile,Standard,499,2024-09-10,Beauty
1319,C0460,752.77,Changed Mind,0,Desktop,Standard,1545,2024-04-06,Beauty
1320,C0955,487.0,Product Quality,0,Mobile,Standard,267,2024-01-26,Beauty
1321,C0470,691.88,Changed Mind,0,Tablet,Standard,1510,2024-04-13,Beauty
1322,C1046,659.77,Product Quality,0,Mobile,Standard,986,2024-04-12,Beauty
1323,C2798,146.94,Payment Issue,0,Desktop,Express,1623,2024-03-15,Electronics
1324,C1694,393.8,Customer Service,1,Mobile,Standard,1073,2024-03-25,Toys
1325,C2086,102.37,Changed Mind,0,Mobile,Express,1678,2024-08-01,Clothing
1326,C2278,548.9,Payment Issue,0,Mobile,Standard,1082,2024-04-22,Clothing
1327,C0563,760.42,Out of Stock,0,Tablet,Standard,1477,2024-11-07,Beauty
1328,C2486,118.3,Payment Issue,1,Mobile,Express,722,2024-02-26,Beauty
1329,C1800,589.77,Payment Issue,0,Desktop,Standard,1095,2024-04-10,Beauty
1330,C2075,509.47,Changed Mind,0,Mobile,Standard,1779,2024-09-06,Home
1331,C0226,471.05,Out of Stock,0,Mobile,Standard,1774,2024-05-14,Clothing
